"E1004","n","populist_share","magnitude","ballot","pop_in_gov"
"AUS_2019",1204,2.2,1,"candidate ballot",0
"AUT_2017",1042,20.4,5,"list ballot",0
"BELF2019",871,20,20,"list ballot",0
"BELW2019",529,11.3,15,"list ballot",0
"CHE_2019",2772,23.7,9,"list ballot",1
"CRI_2018",347,22.8,11,"list ballot",0
"CZE_2017",785,43.3,13,"list ballot",1
"CZE_2021",722,41.7,14,"list ballot",1
"DEU_2017",1493,10.1,1,"list ballot",0
"DEU_2021",2316,6.6,1,"list ballot",0
"DNK_2019",1025,20.3,16,"list ballot",0
"FIN_2019",940,16.1,17,"list ballot",1
"GBR_2017",722,1.5,1,"candidate ballot",0
"GBR_2019",1550,1.2,1,"candidate ballot",0
"GRC_2015",655,44.6,8,"list ballot",1
"GRC_2019",766,45.7,8,"list ballot",1
"IND_2019",5522,60.2,1,"candidate ballot",1
"IRL_2016",656,2.9,4,"candidate ballot",0
"ISL_2016",905,2.8,11,"list ballot",0
"ISR_2020",776,36.3,120,"list ballot",1
"ITA_2018",1089,54.7,1,"list ballot",0
"JPN_2017",955,5.2,1,"list ballot",0
"KOR_2016",711,20.5,1,"list ballot",0
"LTU_2016",635,6.1,1,"list ballot",1
"LTU_2020",828,1.3,1,"list ballot",0
"LVA_2018",489,34.6,25,"list ballot",0
"MEX_2018",793,50.7,1,"list ballot",0
"MNE_2016",445,16.2,81,"list ballot",0
"NLD_2017",1441,8.4,150,"list ballot",0
"NLD_2021",2284,33,150,"list ballot",1
"NOR_2017",1597,13,10,"list ballot",1
"NZL_2017",1267,52.5,1,"list ballot",1
"NZL_2020",1095,37.3,1,"list ballot",1
"PER_2021",510,46.3,6,"list ballot",0
"POL_2019",1157,48.4,12,"list ballot",1
"PRT_2019",617,22.4,19,"list ballot",0
"ROU_2016",458,1.7,8,"list ballot",0
"SVK_2020",580,49.1,150,"list ballot",1
"SWE_2018",2802,12.5,10,"list ballot",0
"TUR_2018",719,56.3,12,"list ballot",1
"USA_2016",2169,50.8,1,"candidate ballot",0
"USA_2020",4991,44.7,1,"candidate ballot",0
