"term","b","se","p","star","ci_lo","ci_hi"
"(Intercept)",-2.007,0.244,2.09269552037973e-16,"***",-2.486,-1.529
"anti_elite",0.553,0.089,4.91356373705013e-10,"***",0.379,0.727
"logmag_c",0.131,0.126,0.298779928044815,"",-0.116,0.378
"age_c",0.003,0.007,0.648907991812863,"",-0.01,0.017
"female",-0.108,0.022,1.58987285704644e-06,"***",-0.151,-0.064
"edu_c",-0.075,0.006,1.91962244746003e-32,"***",-0.087,-0.062
"lr_c",0.183,0.004,0,"***",0.175,0.192
"satdem_c",0.006,0.015,0.671839849607167,"",-0.023,0.036
"populist_in_gov",0.94,0.374,0.0119615305210583,"*",0.207,1.673
"anti_elite:logmag_c",-0.052,0.053,0.329561806149131,"",-0.156,0.052
