"term","b","se","p","star","ci_lo","ci_hi"
"(Intercept)",-1.979,0.248,1.41372789896005e-15,"***",-2.465,-1.493
"anti_elite",0.528,0.088,2.20896491839563e-09,"***",0.355,0.701
"logmag_ind_c",-0.065,0.027,0.0180978891558555,"*",-0.119,-0.011
"age_c",0.004,0.007,0.590215374945917,"",-0.01,0.017
"female",-0.109,0.022,1.14114706091345e-06,"***",-0.153,-0.065
"edu_c",-0.074,0.006,5.04289489118997e-32,"***",-0.087,-0.062
"lr_c",0.184,0.004,0,"***",0.176,0.193
"satdem_c",0.008,0.015,0.607250520748527,"",-0.022,0.037
"populist_in_gov",1.055,0.371,0.00443961186283289,"**",0.328,1.782
"anti_elite:logmag_ind_c",0.013,0.026,0.602213388837883,"",-0.037,0.064
